authcap,donation
625000000,1600000
625000000,1600000
625000000,151000
625000000,2175000
625000000,2175000
625000000,2175000
500000000,500000
500000,5000000
500000,5000000
150000000.00,100000
60000000.0,25000
4904200000,15000000
4904200000,10000000
4904200000,15000000
4904200000,10000000
4904200000,15000000
1810500000,10000000
1810500000,10000000
1810500000,10000000
1810500000,10000000
1810500000,6500000
350000000.0,100000
1452000000,10000000
10000000000,50000000
10000000000,50000000
50000000.0,400000
50000000.0,400000
350000000,24719
60000000.0,2500000
100000.0,20000000
10000000.00,20000000
220000000,10000000
480000000.00,120000000
480000000.00,120000000
650000.0,25000
650000.0,25000
15000000000,25000
6500000000,10000000
18000000.0,1000000
100000.0,100000
200000000.00,7500000
200000000.00,2000000
200000000.00,2000000
110000000.0,500000
200000000.0,12500000
200000000.0,12500000
200000000.0,12500000
200000000.0,12500000
200000000.0,12500000
1412000000,1400000
20000000.00,1000000
2020000.00,3000000
350000000.00,400000
120000000.00,16000000
120000000.00,16000000
150000000.00,8000000
160000000.00,8000000
20000000.00,100000
1100000000,1000000
50000000.00,1000000
100000000.00,250000
5000000.0,200000
1040100000.00,150000
201000000.00,251000
650000000,25000
600000000,1000000
600000000,4000000
600000000,4000000
9500000.0,25000
700000000.00,500000
760000000,23000000
760000000,23000000
760000000,23000000
760000000,23000000
500000.00,500000
110000000.00,50000
10000000.00,700000
10000000.00,10875000
10000000.00,10875000
10000000.00,10875000
10000000.00,10875000
10000000.00,10875000
10000000.00,8550000
10000000.00,8550000
10000000.00,8550000
10000000.00,200000
10000000.00,100000
10000000.00,5500000
10000000.00,5500000
233000000.00,2200000
233000000.00,2200000
100000000.00,4000000
100000000.00,4000000
20000000.0,4500000
20000000.0,4500000
20000000.0,4500000
4000000000,5000000
4000000000,1500000
4000000000,10000000
130000000.0,2500000
50000000.00,500000
30000000.00,1100000
300000000.0,500000
1050000000,105000000
1050000000,105000000
1050000000,105000000
1050000000,50000000
1050000000,50000000
1050000000,65000000
1050000000,65000000
1000000000,1500000
1000000000,40000000
1000000000,40000000
20000000.00,15000000
20000000.00,61500000
20000000.00,61500000
20000000.00,61500000
20000000.00,10000000
