tag,value
Fake ration cards and its linkage with Aadhaar,0.006060596
Aadhaar Enrollment of voters of electorates,0.018593647
LPG Subsidy & DBT (Direct Benefit Transfer),0.019629349
Aadhaar requirement for college students' registration,0.024914683
BSNL linking Aadhaar with mobile numbers,0.025817688
Installation of e-pos systems for Aadhaar enabled PDS,0.026689858
Requirement of Aadhaar for school admission,0.027939199
Requirement of Aadhaar for passport & other services,0.042876776
Aadhar enrollment centers,0.044619466
Opening of bank accounts and financial inclusion,0.045350129
Aadhaar's involvement in filing income tax returns,0.048902133
Digitization of Aadhaar for Cashless payments/Govt-Offices,0.054321816
Implementation of Direct Benefit Transfer Scheme,0.081459873
International Linkages/Positive Effect on Economy,0.083830261
Aadhaar based verification for telecom users and data leakage,0.104460625
Parliamentary debates on Aadhaar,0.12659251
Court cases related to Aadhaar,0.217941391
