tag,value
BSNL linking Aadhaar with mobile numbers,0.005086791
Fake ration cards and its linkage with Aadhaar,0.00687164
Aadhaar requirement for college students' registration,0.007785604
Aadhaar Enrollment of voters of electorates,0.01370129
LPG Subsidy & DBT (Direct Benefit Transfer),0.015165487
Digitization of Aadhaar for Cashless payments/Govt-Offices,0.018443981
Requirement of Aadhaar for school admission,0.019356309
Aadhaar's involvement in filing income tax returns,0.027716686
Requirement of Aadhaar for passport & other services,0.028158399
Installation of e-pos systems for Aadhaar enabled PDS,0.036930497
Opening of bank accounts and financial inclusion,0.047706663
Implementation of Direct Benefit Transfer Scheme,0.055977607
Aadhar enrollment centers,0.093312735
International Linkages/Positive Effect on Economy,0.126085674
Aadhaar based verification for telecom users and data leakage,0.140031814
Court cases related to Aadhaar,0.164712676
Parliamentary debates on Aadhaar,0.192956147
