tag,value,,
International Linkages/Positive Effect on Economy,-543.6168,0,#REF!
Opening of bank accounts and financial inclusion,-169.7028,0,#REF!
Aadhaar's involvement in filing income tax returns,-42.449,1.111,#REF!
Installation of e-pos systems for Aadhaar enabled PDS,-17.8424,0,#REF!
Requirement of Aadhaar for passport & other services,-15.478,0,#REF!
Requirement of Aadhaar for school admission,-6.6704,0,#REF!
Fake ration cards and its linkage with Aadhaar,-3.355,0,0.172
Aadhaar requirement for college students' registration,-0.9108,0,#REF!
Aadhaar Enrollment of voters of electorates,-0.6461,0,#REF!
BSNL linking Aadhaar with mobile numbers,0.9735,0,#REF!
LPG Subsidy & DBT (Direct Benefit Transfer),3.027,0,#REF!
Implementation of Direct Benefit Transfer Scheme,5.1253,0,#REF!
Aadhar enrollment centers,9.5362,0.133,0.133
Digitization of Aadhaar for Cashless payments/Govt-Offices,10.4206,0,#REF!
Parliamentary debates on Aadhaar,56.916,0,#REF!
Aadhaar based verification for telecom users and data leakage,88.0123,0,#REF!
Court cases related to Aadhaar,278.9713,0,#REF!
,,0,0.775
,,0,#REF!
,,0,#REF!
,,1.3,#REF!
