tag,value
Fake ration cards and its linkage with Aadhaar,0.005851167
Aadhaar Enrollment of voters of electorates,0.017994102
Aadhaar requirement for college students' registration,0.020157937
BSNL linking Aadhaar with mobile numbers,0.022222556
Aadhaar based verification for telecom users and data leakage,0.02355023
LPG Subsidy & DBT (Direct Benefit Transfer),0.030740169
Installation of e-pos systems for Aadhaar enabled PDS,0.030843955
Aadhaar's involvement in filing income tax returns,0.033415753
Requirement of Aadhaar for school admission,0.036531937
Digitization of Aadhaar for Cashless payments/Govt-Offices,0.046110253
Requirement of Aadhaar for passport & other services,0.054027997
Opening of bank accounts and financial inclusion,0.066050175
Implementation of Direct Benefit Transfer Scheme,0.069863486
International Linkages/Positive Effect on Economy,0.088368684
Aadhar enrollment centers,0.114830137
Parliamentary debates on Aadhaar,0.131988731
Court cases related to Aadhaar,0.207452732
