tag,value
Aadhaar's involvement in filing income tax returns,0.0075503356
Requirement of Aadhaar for school admission,0.0151006711
Aadhaar requirement for college students' registration,0.0234899329
Installation of e-pos systems for Aadhaar enabled PDS,0.0268456376
Opening of bank accounts and financial inclusion,0.0339765101
BSNL linking Aadhaar with mobile numbers,0.0352348993
Digitization of Aadhaar for Cashless payments/Govt-Offices,0.0398489933
Parliamentary debates on Aadhaar,0.0507550336
Aadhaar based verification for telecom users and data leakage,0.0587248322
International Linkages/Positive Effect on Economy,0.0629194631
Requirement of Aadhaar for passport & other services,0.0654362416
Fake ration cards and its linkage with Aadhaar,0.0654362416
Aadhaar Enrollment of voters of electorates,0.0679530201
LPG Subsidy & DBT (Direct Benefit Transfer),0.0843120805
Court cases related to Aadhaar,0.0985738255
Implementation of Direct Benefit Transfer Scheme,0.1178691275
Aadhar enrollment centers,0.1459731544
,1
