tag,value,,,,
Aadhar enrollment centers,-260.0437,-1.4516,0.178,0.451,2.533707865
Aadhaar requirement for college students' registration,-29.8082,0,0,0,#DIV/0!
Aadhaar Enrollment of voters of electorates,-22.779,0,0,0,#DIV/0!
BSNL linking Aadhaar with mobile numbers,-17.9366,0,0,0,#DIV/0!
Fake ration cards and its linkage with Aadhaar,-16.907,0,0,0,#DIV/0!
LPG Subsidy & DBT (Direct Benefit Transfer),-13.041,0,0,0,#DIV/0!
Aadhaar's involvement in filing income tax returns,-1.1733,0,0,0,#DIV/0!
Installation of e-pos systems for Aadhaar enabled PDS,2.1167,0,0,0,#DIV/0!
Opening of bank accounts and financial inclusion,34.2739,0,0,0,#DIV/0!
Requirement of Aadhaar for school admission,45.238,0,0,0,#DIV/0!
Digitization of Aadhaar for Cashless payments/Govt-Offices,60.3921,0,0,0,#DIV/0!
Parliamentary debates on Aadhaar,87.6487,0,0,0,#DIV/0!
Aadhaar based verification for telecom users and data leakage,87.9658,0,0,0,#DIV/0!
Requirement of Aadhaar for passport & other services,117.725,0,0,0,#DIV/0!
International Linkages/Positive Effect on Economy,525.6765,0,0,0,#DIV/0!
Implementation of Direct Benefit Transfer Scheme,583.3486,0,0,0,#DIV/0!
Court cases related to Aadhaar,606.9759,0,0,0,#DIV/0!
,,0,0,0,#DIV/0!
,,-1.4516,0.178,0.451,2.533707865
,,0,0,0,#DIV/0!
,,-0.296,0,0.121,0.121
