tag,value
Suffering of farmers and Relief-measures,0
Negative impact of demonetisation on Real-Estate,0.0023419204
Negative impact on Small/Medium scale industries/employees,0.0029274005
Failure of RBI to stabilize economy Post-Demon,0.0096604215
Long queues at banks and ATMs and cash crunch,0.012587822
Huge deposits in PMY bank accounts,0.0149297424
Negative impact on Retail/Stock markets,0.0163934426
Vendors going cashless & impact Post-Demon,0.0169789227
Enhanced security features on new currency notes,0.0234192037
Probes and Arrests of black money hoarders,0.0679156909
Court verdicts & Penalties for black money hoarders,0.1984777518
Appreciation by PM for supporting Demonitisation,0.2131147541
Negative imapct of demonetisation on Economy,0.4212529274
