tag,value
Court verdicts & Penalties for black money hoarders,0
Suffering of farmers and Relief-measures,0
Negative impact of demonetisation on Real-Estate,0
Negative impact on Small/Medium scale industries/employees,0
Huge deposits in PMY bank accounts,0
Enhanced security features on new currency notes,0
Probes and Arrests of black money hoarders,0
Failure of RBI to stabilize economy Post-Demon,0
Negative impact on Retail/Stock markets,0
Long queues at banks and ATMs and cash crunch,0
Opposition unites against government on Demon-issue,0
Negative imapct of demonetisation on Economy,0
Appreciation by PM for supporting Demonitisation,0
Encouraging cashless payments Post-Demon,0
Vendors going cashless & impact Post-Demon,0
