tag,value,,,,,
Probes and Arrests of black money hoarders,-17.0562,,0,0,0,#DIV/0!
Enhanced security features on new currency notes,-15.8438,,-0.8481,0,0.339,#DIV/0!
Failure of RBI to stabilize economy Post-Demon,-6.702,,0,0,0,#DIV/0!
Appreciation by PM for supporting Demonitisation,-5.3131,,0,0,0,#DIV/0!
Huge deposits in PMY bank accounts,-4.7879,,0,0,0,#DIV/0!
Court verdicts & Penalties for black money hoarders,-3.534,,-0.2023,0.112,0.157,1.401785714
Long queues at banks and ATMs and cash crunch,-2.7514,,-0.296,0,0.216,#DIV/0!
Suffering of farmers and Relief-measures,-0.2565,,0,0,0,#DIV/0!
Vendors going cashless & impact Post-Demon,1.2954,,0,0,0,#DIV/0!
Negative impact on Small/Medium scale industries/employees,1.3089,,0,0,0,#DIV/0!
Negative impact of demonetisation on Real-Estate,1.594,,0,0,0,#DIV/0!
Negative impact on Retail/Stock markets,2.7013,,0,0,0,#DIV/0!
Negative imapct of demonetisation on Economy,8.8507,,0,0,0,#DIV/0!
,,,,,,
,,,,,,
,,,0,0,0,#DIV/0!
,,,-0.9534,0,0.352,#DIV/0!
,,,0,0,0,#DIV/0!
,,,-0.4767,0,0.256,#DIV/0!
,,,0,0,0,#DIV/0!
,,,0,0,0,#DIV/0!
