tag,value
Negative impact of demonetisation on Real-Estate,0.0060625098
Suffering of farmers and Relief-measures,0.0079158159
Failure of RBI to stabilize economy Post-Demon,0.0190670646
Negative impact on Small/Medium scale industries/employees,0.0234333281
Negative impact on Retail/Stock markets,0.0515784514
Vendors going cashless & impact Post-Demon,0.0516098634
Long queues at banks and ATMs and cash crunch,0.0731584734
Huge deposits in PMY bank accounts,0.0818910005
Enhanced security features on new currency notes,0.0826134757
Court verdicts & Penalties for black money hoarders,0.1175749961
Negative imapct of demonetisation on Economy,0.1189257107
Probes and Arrests of black money hoarders,0.1189885346
Appreciation by PM for supporting Demonitisation,0.2471807759
