tag,value
Training Programmes for  GST Awareness,50
Positive Effect of GST on GDP and Economy,16
Uncertainity in Impact of GST on consumer Goods,1
Revolts/Confusion with GST Rate Slabs,59
GST Bill implementation in State Assemblies,15
Discussion in Parliament in support of GST,9
Fears of Capital Crunch among traders before GST Rollout,44
Traders hassles to meet GST registration deadline,34
Sensex/Market rejoices on GST rollout,14
Nonconclusive discussion b/w center & state regarding GST,56
Nationwide Protest to include Petroleum products under GST,179
