tag,value
Fears of Capital Crunch among traders before GST Rollout,-2.8596
Positive Effect of GST on GDP and Economy,-2.0142
Nationwide Protest to include Petroleum products under GST,-1.2576
Revolts/Confusion with GST Rate Slabs,0
Nonconclusive discussion b/w center & state regarding GST,1.4085
Uncertainity in Impact of GST on consumer Goods,1.5575
Sensex/Market rejoices on GST rollout,2.7317
Traders hassles to meet GST registration deadline,6.3259
GST Bill implementation in State Assemblies,12.5093
Discussion in Parliament in support of GST,127.8987
Training Programmes for Creating GST Awareness,5781.789
