tag,value
Training Programmes for  GST Awareness,13
Positive Effect of GST on GDP and Economy,9
Uncertainity in Impact of GST on consumer Goods,0
Revolts/Confusion with GST Rate Slabs,32
GST Bill implementation in State Assemblies,28
Discussion in Parliament in support of GST,3
Fears of Capital Crunch among traders before GST Rollout,3
Traders hassles to meet GST registration deadline,1
Sensex/Market rejoices on GST rollout,9
Nonconclusive discussion b/w center & state regarding GST,61
Nationwide Protest to include Petroleum products under GST,86
