tag,value
Uncertainity in Impact of GST on consumer Goods,0
Traders hassles to meet GST registration deadline,0.000872136
Positive Effect of GST on GDP and Economy,0.012228714
Sensex/Market rejoices on GST rollout,0.018182585
Training Programmes for  GST Awareness,0.047324908
Fears of Capital Crunch among traders before GST Rollout,0.049166445
GST Bill implementation in State Assemblies,0.051828244
Revolts/Confusion with GST Rate Slabs,0.103753753
Discussion in Parliament in support of GST,0.184395567
Nationwide Protest to include Petroleum products under GST,0.230733567
Nonconclusive discussion b/w center & state regarding GST,0.301514081
