tag,value
Revolts/Confusion with GST Rate Slabs,0
Uncertainity in Impact of GST on consumer Goods,0.0142180095
Positive Effect of GST on GDP and Economy,0.0248815166
Sensex/Market rejoices on GST rollout,0.0296208531
Nationwide Protest to include Petroleum products under GST,0.0414691943
Nonconclusive discussion b/w center & state regarding GST,0.0592417062
Traders hassles to meet GST registration deadline,0.1374407583
Training Programmes for Creating GST Awareness,0.1563981043
GST Bill implementation in State Assemblies,0.163507109
Discussion in Parliament in support of GST,0.182464455
Fears of Capital Crunch among traders before GST Rollout,0.1907582938
