tag,value
Training Programmes for  GST Awareness,97
Positive Effect of GST on GDP and Economy,33
Uncertainity in Impact of GST on consumer Goods,3
Revolts/Confusion with GST Rate Slabs,140
GST Bill implementation in State Assemblies,83
Discussion in Parliament in support of GST,12
Fears of Capital Crunch among traders before GST Rollout,65
Traders hassles to meet GST registration deadline,23
Sensex/Market rejoices on GST rollout,20
Nonconclusive discussion b/w center & state regarding GST,106
Nationwide Protest to include Petroleum products under GST,62
