tag,value
Fears of Capital Crunch among traders before GST Rollout,-4.5056
Nationwide Protest to include Petroleum products under GST,-3.9903
GST Bill implementation in State Assemblies,-3.8496
Revolts/Confusion with GST Rate Slabs,0
Uncertainity in Impact of GST on consumer Goods,0.5921
Nonconclusive discussion b/w center & state regarding GST,3.0188
Positive Effect of GST on GDP and Economy,3.6061
Sensex/Market rejoices on GST rollout,3.9215
Traders hassles to meet GST registration deadline,4.4338
Training Programmes for Creating GST Awareness,4.7879
Discussion in Parliament in support of GST,19.2119
,
,
,
,
,
,
,
,
,
,
,
,
,
,0.679273828
