tag,value
Training Programmes for  GST Awareness,27
Positive Effect of GST on GDP and Economy,3
Uncertainity in Impact of GST on consumer Goods,27
Revolts/Confusion with GST Rate Slabs,58
GST Bill implementation in State Assemblies,3
Discussion in Parliament in support of GST,19
Fears of Capital Crunch among traders before GST Rollout,38
Traders hassles to meet GST registration deadline,10
Sensex/Market rejoices on GST rollout,13
Nonconclusive discussion b/w center & state regarding GST,75
Nationwide Protest to include Petroleum products under GST,75
