tag,value
Uncertainity in Impact of GST on consumer Goods,0.002689656
Positive Effect of GST on GDP and Economy,0.005182729
Sensex/Market rejoices on GST rollout,0.022805115
Traders hassles to meet GST registration deadline,0.025806279
Revolts/Confusion with GST Rate Slabs,0.10261571
GST Bill implementation in State Assemblies,0.107544898
Discussion in Parliament in support of GST,0.107684018
Training Programmes for  GST Awareness,0.116746484
Nonconclusive discussion b/w center & state regarding GST,0.142451448
Fears of Capital Crunch among traders before GST Rollout,0.145352304
Nationwide Protest to include Petroleum products under GST,0.221121359
