tag,value
Training Programmes for  GST Awareness,217
Positive Effect of GST on GDP and Economy,89
Uncertainity in Impact of GST on consumer Goods,2
Revolts/Confusion with GST Rate Slabs,118
GST Bill implementation in State Assemblies,118
Discussion in Parliament in support of GST,15
Fears of Capital Crunch among traders before GST Rollout,39
Traders hassles to meet GST registration deadline,0
Sensex/Market rejoices on GST rollout,192
Nonconclusive discussion b/w center & state regarding GST,133
Nationwide Protest to include Petroleum products under GST,150
