tag,value
GST Bill implementation in State Assemblies,-7.3167
Nationwide Protest to include Petroleum products under GST,-1.742
Positive Effect of GST on GDP and Economy,-0.8294
Sensex/Market rejoices on GST rollout,-0.128
Traders hassles to meet GST registration deadline,0.3854
Uncertainity in Impact of GST on consumer Goods,0.5541
Fears of Capital Crunch among traders before GST Rollout,2.2595
Revolts/Confusion with GST Rate Slabs,2.3694
Nonconclusive discussion b/w center & state regarding GST,5.3974
Discussion in Parliament in support of GST,9.2623
Training Programmes for Creating GST Awareness,12.1465
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,0.448416752
,1
