tag,value
Training Programmes for  GST Awareness,186
Positive Effect of GST on GDP and Economy,24
Uncertainity in Impact of GST on consumer Goods,22
Revolts/Confusion with GST Rate Slabs,180
GST Bill implementation in State Assemblies,288
Discussion in Parliament in support of GST,32
Fears of Capital Crunch among traders before GST Rollout,56
Traders hassles to meet GST registration deadline,22
Sensex/Market rejoices on GST rollout,116
Nonconclusive discussion b/w center & state regarding GST,127
Nationwide Protest to include Petroleum products under GST,158
