tag,value
GST Bill implementation in State Assemblies,-42.9368
Positive Effect of GST on GDP and Economy,-7.7932
Fears of Capital Crunch among traders before GST Rollout,-6.4506
Revolts/Confusion with GST Rate Slabs,-1.4301
Nonconclusive discussion b/w center & state regarding GST,2.7629
Uncertainity in Impact of GST on consumer Goods,5.8983
Nationwide Protest to include Petroleum products under GST,16.3902
Sensex/Market rejoices on GST rollout,85.0371
Training Programmes for Creating GST Awareness,111.0128
Traders hassles to meet GST registration deadline,481.0191
Discussion in Parliament in support of GST,1140.8161
