tag,value
Failure of RBI to stabilize economy Post-Demon,0
Long queues at banks and ATMs and cash crunch,0
Vendors going cashless & impact Post-Demon,0
Probes and Arrests of black money hoarders,0
Suffering of farmers and Relief-measures,0
Huge deposits in PMY bank accounts,0
Negative impact of demonetisation on Real-Estate,0
Encouraging cashless payments Post-Demon,0
Court verdicts & Penalties for black money hoarders,0.0625
Negative impact on Retail/Stock markets,0.0625
Negative imapct of demonetisation on Economy,0.0625
Negative impact on Small/Medium scale industries/employees,0.125
Enhanced security features on new currency notes,0.125
Opposition unites against government on Demon-issue,0.25
Appreciation by PM for supporting Demonitisation,0.3125
