tag,value
Variation in Crop Prices with monsoon season,7.39891235988E-05
District Administration and farmers Issues,0.0001849728
Educational Drives and Social Awareness on Farmer's Distress,0.0015907662
Loan waiver implementation by State Govts (and opposition's protests regarding the same),0.0018867227
Positive effect of climatic conditions on agriculture yield,0.0026266139
Politics in Maharashtra/Punjab over Compensation and Loan waiver for farmers,0.0064370538
Training programmes and seminars to improve farming in States,0.0064740483
Cultural events related to farmers' distress,0.0125041619
Farmers' Distress regarding Minimum Support Price for Crops,0.0128741075
Opposition's protests and concerns on problems related to farmers (including Demonetization),0.0159816507
Crimes and Suicide in farmer community,0.0352558174
Disbursement of Loans and Subsidy by Banks for farmers,0.0359587141
Protests by farmers,0.0410639636
Irrigation concerns and water pollution affecting farming,0.8270874182
