tag,value
Protests by farmers,-14.1232
Crimes and Suicide in farmer community,-8.8516
Positive effect of climatic conditions on agriculture yield,-3.5294
Politics in Maharashtra/Punjab over Compensation and Loan waiver for farmers,-2.112
Cultural events related to farmers' distress,-1.9485
Disbursement of Loans and Subsidy by Banks for farmers,-1.8982
Farmers' Distress regarding Minimum Support Price for Crops,-1.7702
Training programmes and seminars to improve farming in States,-1.0235
District Administration and farmers Issues,-0.1947
Educational Drives and Social Awareness on Farmer's Distress,0
Variation in Crop Prices with monsoon season,0
Loan waiver implementation by State Govts (and opposition's protests regarding the same),0.1842
Opposition's protests and concerns on problems related to farmers (including Demonetization),0.853
Irrigation concerns and water pollution affecting farming,2.2984
