tag,value
Crimes and Suicide in farmer community,-995.2492
Disbursement of Loans and Subsidy by Banks for farmers,-144.0851
Cultural events related to farmers' distress,-84.6286
Loan waiver implementation by State Govts (and opposition's protests regarding the same),-63.8503
Protests by farmers,-60.2932
Positive effect of climatic conditions on agriculture yield,-39.9017
Opposition's protests and concerns on problems related to farmers (including Demonetization),-11.511
District Administration and farmers Issues,-7.9308
Politics in Maharashtra/Punjab over Compensation and Loan waiver for farmers,-7.2793
Educational Drives and Social Awareness on Farmer's Distress,-3.9392
Variation in Crop Prices with monsoon season,-2.6669
Farmers' Distress regarding Minimum Support Price for Crops,15.6391
Training programmes and seminars to improve farming in States,37.2548
Irrigation concerns and water pollution affecting farming,2252.6772
