tag,value
Arun Jaitley,0.157593123
Nandan Nilekani Nandan,0.143266476
Narendra Modi,0.140401146,49
Ravi Shankar Prasad,0.114613181
D.Y. Chandrachud,0.097421203
K.K. Venugopal,0.063037249
A.K. Sikri,0.051575931
Ajay Bhushan Pandey,0.037249284
Arvind Kejriwal,0.025787966
Dipak Misra,0.020057307
Akhilesh Yadav,0.020057307
Nitish Kumar,0.020057307
Mamata Banerjee,0.017191977
Jean Dreze,0.017191977
Rajnath Singh,0.014326648
Manohar Lal Khattar,0.014326648
Rakesh Dwivedi,0.011461318
Chandrasekhar Rao,0.011461318
Mukul Rohatgi,0.011461318
Kapil Sibal,0.011461318
