tag,value,a,b,pol
Arun Jaitley,10.469,0.326,0.15,2.173333333
Nandan Nilekani Nandan,9.239,0,0,0
Narendra Modi,7.7951,1.31,0,1.31
Ravi Shankar Prasad,15.3926,1.008,0.126,8
D.Y. Chandrachud,18.2821,6.804,0.71,9.583098592
K.K. Venugopal,3.5338,1.572,0.904,1.738938053
A.K. Sikri,8.378,6.398,0.39,16.40512821
Ajay Bhushan Pandey,1.0793,0.17,0.252,0.674603175
Arvind Kejriwal,0.1097,0.244,0,0.244
Dipak Misra,2.3281,1.498,0,1.498
Akhilesh Yadav,0.2392,0.492,0.214,2.299065421
Nitish Kumar,1.2963,1.312,0.466,2.815450644
Mamata Banerjee,-0.5512,0.526,0.64,0
Jean Dreze,-1.5552,0,0,0,green3
Rajnath Singh,0.8465,0.41,0.106,3.867924528
Manohar Lal Khattar,0.326,0,0,0
Rakesh Dwivedi,0,0,0,0
Chandrasekhar Rao,0.4397,0,0,0
Mukul Rohatgi,-0.4819,0.184,0.294,0
Kapil Sibal,0.2759,0.476,0.308,1.545454545
