tag,value
Requirement of Aadhaar for passport and other services (concessions),0.079448448
Fake ration cards and linkage of Aadhaar with ration cards,0.048093835
Installation of e-pos systems for Aadhaar enabled PDS,0.028367071
"Digitization of Aadhaar enabled employees' provident fund, attendance systems at public offices, and cashless payments",0.0411384
Requirement of Aadhaar for school admission,0.028112059
BSNL linking Aadhaar with mobile numbers/ number of registrations under Aadhaar,0.031477547
Implementation of Direct Benefit Transfer Scheme,0.090072181
Aadhaar based verification for telecom users and data leakage,0.053940779
Banks & Aadhar Cards,0.047478846
LPG Subsidy & DBT (Direct Benefit Transfer),0.060260676
Aadhaar Enrollment of voters of electorates,0.062072691
Opposition & Politics over Aadhar,0.061983252
Aadhaar's involvement in filing income tax returns,0.023038842
"Aadhar Act, Indian Economy & economic growth,",0.063818713
Court cases related to Aadhaar (right to privacy and social welfare schemes),0.100701844
Aadhaar requirement for college students' registration,0.033787999
Aadhar enrollment centers,0.146206815
