tag,value
Narendra Modi,0.305475504
Arun Jaitley,0.18443804
Ravi Shankar Prasad,0.106628242
Akhilesh Yadav,0.048991354
Prakash Javadekar,0.048991354
Nitish Kumar,0.037463977
Mayawati,0.031700288
Devendra Fadnavis,0.028818444
Mukesh Ambani,0.023054755
Amarinder,0.020172911
Urjit Patel,0.020172911
Nandan Nilekani,0.020172911
Naveen Patnaik,0.020172911
Hasmukh Adhia,0.017291066
Arvind Kejriwal,0.014409222
Lalu Prasad,0.014409222
Raghubar Das,0.014409222
Vijay Shekhar Sharma,0.014409222
Piyush Goyal,0.014409222
Bhim Sen Sehgal,0.014409222
