tag,value,a,b,pol
Narendra Modi,15.0467,2.318,0.166,13.96385542
Arun Jaitley,12.0776,0,0,0
R Shankar Prasad,8.3863,1.008,0.126,8
Akhilesh Yadav,2.1515,0.79,0.398,1.984924623
Prakash Javadekar,0.9241,0.966,0.786,1.229007634
Nitish Kumar,2.1671,0.354,0.354,1
Mayawati,0.875,0,0,0
Devendra Fadnavis,0.6393,0.496,0.308,1.61038961
Mukesh Ambani,2.1237,0,0,0
Amarinder,-0.6018,1.454,1.736,0
Urjit Patel,-1.0216,0,0.706,1.678571429
Nandan Nilekani,1.004,0.556,0,0.556
Naveen Patnaik,1.1175,1.254,0,1.254
Hasmukh Adhia,0,0,0,0
Arvind Kejriwal,-0.6294,0,0.194,0
Lalu Prasad,1.6098,0,0,0
Raghubar Das,0.4526,0,0,0
V Shekhar Sharma,0,0,0,0
Piyush Goyal,-0.112,0.732,0.59,0
Bhim Sen Sehgal,-2.0011,0,0,0
