tag,value
Narendra Modi,0.322629969
Arun Jaitley,0.159531091
Amit Shah,0.056574924
Rahul Gandhi,0.050203874
Arvind Kejriwal,0.047655454
Akhilesh Yadav,0.044342508
Mamata Banerjee,0.041794088
Nitish Kumar,0.029561672
Lalu Prasad,0.028797146
Shaktikantha Das,0.027650357
Mayawati,0.022680938
Ravi Shankar Prasad,0.022171254
Venkaiah Naidu,0.022043833
Hasmukh Adhia,0.02166157
Chidambaram,0.020769623
Urjit Patel,0.020769623
Manmohan Singh,0.017074414
Randeep Singh Surjewala,0.015545362
Kapil Mishra,Mukul Rohatgi,0.014398573
Ananth Kumar,Kapil Sibal,0.014143731
