tag,value,a,b,pol
Narendra Modi,-39.6164,4838.924,5228.748,1.080560058
Arun Jaitley,104.6293,1074.164,650.546,1.651173015
Amit Shah,38.2528,519.06,317.446,1.635112744
Rahul Gandhi,-24.2603,534.276,612.352,1.146134208
Arvind Kejriwal,-21.477,770.078,900.174,1.168938731
Akhilesh Yadav,-14.7752,332.138,487.936,1.469076107
Mamata Banerjee,-30.5735,368.316,795.852,2.160785847
Nitish Kumar,10.9153,517.996,390.918,1.325075847
Lalu Prasad,-11.7102,332.394,417.02,1.25459545
Shaktikantha Das,12.2105,253.886,199.92,1.269937975
Mayawati,-2.9762,178.204,169.198,0.949462414
Ravi Shankar Prasad,7.6513,407.01,232.062,1.753884738
Venkaiah Naidu,14.6524,781.276,513.54,1.521353741
Hasmukh Adhia,10.4463,155.698,164.654,0.945607152
Chidambaram,-7.6458,315.238,434.084,1.377004041
Urjit Patel,9.6534,367.826,250.584,1.467875044
Manmohan Singh,-7.8982,140.262,128.116,0.913404914
Randeep Singh Surjewala,-9.9133,76.046,130.94,1.721852563
Kapil Mishra,-8.7959,79.19,81.564,1.029978533
Ananth Kumar,22.1738,206.954,73.866,2.801749113
