tag,value
Devendra Fadnavis,0.231124807
Narendra Modi,0.11248074
Amarinder Singh,0.103235747
H.D. Kumaraswamy,0.095531587
Rahul Gandhi,0.093990755
Vasundhara Raje,0.053929122
Siddaramaiah,0.032357473
Sharad Pawar,0.032357473
Parkash Singh Badal,0.029275809
Akhilesh Yadav,0.026194145
Amit Shah,0.023112481
Uddhav Thackeray,0.021571649
Nitin Gadkari,0.020030817
Chandrababu Naidu,0.020030817
Sachin Pilot,0.020030817
B.S. Yeddyurappa,0.020030817
Arun Jaitley,0.018489985,12
Arvind Kejriwal,0.016949153
Kishore Tiwari,0.01540832
Chandrasekhar Rao,0.013867488
