tag,value,a,b,pol
Devendra Fadnavis,8.5065,43.896,34.73,1.263921682
Narendra Modi,-0.6048,92.8,84.5,1.173884077
Vasundhara Raje,6.0649,45.284,7.424,6.099676724
Amit Shah,3.3278,14.332,4.88,2.936885246
Nitin Gadkari,3.8851,5.242,1.244,4.213826367
B.S. Yeddyurappa,0,0,0,0
Arun Jaitley,-1.946,4.02,5.12,0.362
Parkash Singh Badal,0,0,0,0
Chandrababu Naidu,0.0703,10.856,9.336,1.162810626
Uddhav Thackeray,5.045,6.39,0.856,7.464953271
Akhilesh Yadav,1.3016,4.998,4.424,1.129746835
Chandrasekhar Rao,3.5806,3.912,0,3.912
Sharad Pawar,2.8604,10.884,8.648,1.258556892
H.D. Kumaraswamy,0,0,0,0
Arvind Kejriwal,1.0232,7.648,7.136,1.071748879
Kishore Tiwari,0,0,0,0
Sachin Pilot,-1.5544,6.736,11.284,0
Amarinder Singh,0,0,0,0
Rahul Gandhi,3.5847,89.298,35.41,2.521829992
Siddaramaiah,-0.0651,12.432,33.328,0
