tag,value
Arun Jaitley,4.115562404
Narendra Modi,1.508474576
Hasmukh Adhia,0.579352851
Rahul Gandhi,0.261941448
Mamata Banerjee,0.218798151
Venkaiah Naidu,0.201848998
Chidambaram,0.197226502
Amit Shah,0.19568567
Urjit Patel,0.191063174
Nitish Kumar,0.166409861
Sudhir Mungantiwar,0.157164869
Piyush Goyal,0.117103236
Devendra Fadnavis,0.11248074
Siddaramaiah,0.103235747
Nitin Gadkari,0.097072419
Himanta Biswa Sarma,0.097072419
Uddhav Thackeray,0.093990755
Akhilesh Yadav,0.089368259
Suresh Prabhu,0.086286595
Dharmendra Pradhan,0.084745763
