tag,value,a,b,pol
Arun Jaitley,378.404,63.604,25.726,2.47236259
Narendra Modi,179.1458,33.79,11.454,2.950061114
Hasmukh Adhia,33.6573,9.592,4.216,2.275142315
Venkaiah Naidu,24.946,2.704,0.862,3.136890951
Amit Shah,23.7814,4.06,2.292,1.771378709
Piyush Goyal,8.9142,2.44,0.748,3.262032086
Devendra Fadnavis,6.6816,1.444,0,1.444
Nitin Gadkari,6.3073,0.28,0.678,0.412979351
Sudhir Mungantiwar,11.4704,1.818,0.456,3.986842105
Suresh Prabhu,11.6425,1.972,0.22,8.963636364
Dharmendra Pradhan,10.5978,4.138,1.218,3.397372742
Nitish Kumar,26.2078,2.086,0.122,17.09836066
Uddhav Thackeray,0.5086,0.166,0.322,0.51552795
Urjit Patel,15.2731,7.454,3.56,2.093820225
Mamata Banerjee,0.513,2.084,2.932,0.710777626
Akhilesh Yadav,11.3574,0.64,0,0.64
Himanta Biswa Sarma,10.9778,0.62,0.236,2.627118644
Siddaramaiah,3.275,0.894,1.304,0.685582822
Chidambaram,8.8529,1.73,1.126,1.536412078
Rahul Gandhi,-4.2831,1.28,1.924,0.994916116
