tag,value
Narendra Modi,0.237288136
Sachin Pilot,0.110169492
Arvind Kejriwal,0.101694915
Ravi Shankar Prasad,0.101694915
M.N. Vidyashankar,0.06779661
Devendra Fadnavis,0.042372881
Kapil Sibal,0.033898305
Nitin Gadkari,0.033898305
Sharad Pawar,0.033898305
Mukesh Ambani,0.033898305
Amit Mitra,0.033898305
Manohar Lal Khattar,0.025423729
Arun Jaitley,0.025423729
Sukhbir Singh Badal,0.016949153
Prithviraj Chavan,0.016949153
Manmohan Singh,0.016949153
Nitish Kumar,0.016949153
Prashant Bhushan,0.016949153
Anil Ambani,0.016949153
Vijay Kumar Dev,0.016949153
