tag,value,a,b,pol
Narendra Modi,10.4951,0.436,0,0.436
Ravi Shankar Prasad,1.2683,0,0,0
Devendra Fadnavis,1.281,0,0,0
Nitin Gadkari,-0.1027,0.072,0.088,0
Manohar Lal Khattar,0.7003,0,0,0
Arun Jaitley,0.7096,0.474,0,0.474
Nitish Kumar,0.6183,0.57,0.328,1.737804878
Sharad Pawar,1.074,0.816,0.148,5.513513514
Amit Mitra,0,0,0,0
Sukhbir Singh Badal,0,0,0,0
Sachin Pilot,2.3605,1.98,0.626,3.162939297
Kapil Sibal,-0.4483,0.052,0.612,4.156862745
Prithviraj Chavan,0,0,0,0
Manmohan Singh,0,0,0,0
Arvind Kejriwal,0.359,1.86,2.728,0.681818182
Prashant Bhushan,0,0,0,0
M.N. Vidyashankar,2.1308,0,0,0
Vijay Kumar Dev,0,0,0,0
Mukesh Ambani,0,0,0,0
Anil Ambani,0,0,0,0
